Author	Title	Publisher	Shelf	Category	Subject
Dupre	Skyscrapers	BD&L	12	Architecture	20th Century
Hollingsworth	Architecture of the 20th Century	Exeter	6	Architecture	20th Century
Johnson Burgee	Architecture 1979-1985	Rizzoli	6	Architecture	20th Century
Tzonis	Santiago Calatrava The Complete Works Expanded Edition	Rizzoli	12	Architecture	20th Century
Breeze	L. A. Deco	Rizzoli	16	Architecture	American Architecture
Brownlee	Making a Moden Classic The Architecture of the Philadelphia Museum of Art	Philadelphia Museum of Art	10	Architecture	American Architecture
Editoriale Domus	Empire State Building Kit	Editoriale Domus	31	Architecture	American Architecture
Gebhard and Winter	Los Angeles An Architecture Guide	Gibbs Smith	17	Architecture	American Architecture
Gebhard and Zimmerman	The California Architecture of Frank Lloyd Wright	Chronicle Books	31	Architecture	American Architecture
Gournay et al	AIA Guide to the Architecture of Atlanta	University of Georgia Press	16	Architecture	American Architecture
Hines	Architecture of the Sun Los Angeles Modernism 1900-1970	Rizzoli	12	Architecture	American Architecture
Jodidio	Contemporary American Architects	Taschen	25	Architecture	American Architecture
Kennedy	American Churches	Stewart Tabori & Chang	6	Architecture	American Architecture
Larson and Pridmore	Chicago Architecture and Design	Abrams	Noguchi	Architecture	American Architecture
LeBlanc	20th Century American Architecture A Traveler's Guide to 220 Key Buildings	Whitney	17	Architecture	American Architecture
Longstreth	On the Edge of the World Four Architects in SF at the Turn of the Century	University of California Press	5	Architecture	American Architecture
Macaulay	Unbuilding	HMCo	6	Architecture	American Architecture
McDonough	Frank Lloyd Wright	Chelsea House Publishers	16	Architecture	American Architecture
Newhouse	"Wallace K. Jarrison, Architect"	Rizzoli	6	Architecture	American Architecture
Shelton-Roberts	North Carolina Lighthouses A Tribute of History and Hope	Our State Books	12	Architecture	American Architecture
Sommer	Frank Lloyd Wright a Gatefold Portfolio	Barnes & Noble	6	Architecture	American Architecture
Sommer	Frank Lloyd Wright American Architect for the 20th Century	Smithmark	31	Architecture	American Architecture
Stern	Pride of Place	Houghton Mifflin	6	Architecture	American Architecture
Street-Porter	The Los Angeles House Decoration and Design in America's 12th-Century City	Potter	12	Architecture	American Architecture
Taschen	Frank Lloyd Wright	Taschen	6	Architecture	American Architecture
Tunick	Terra-Cotta Skyline	Princeton Architectural Press	6	Architecture	American Architecture
Turbyville	Bay Beacons Lighthouses of the Chesapeake Bay	East Wind	12	Architecture	American Architecture
West	Frank Lloyd Wright Selected Houses 3	A.D.A. Edit Tokyo	10	Architecture	American Architecture
Wilson	Frank Lloyd Wright on the West Coast	Gibbs Smith	31	Architecture	American Architecture
Wiseman	I. M. Pei A Profile in American Architecture	Abrams	Noguchi	Architecture	American Architecture
Wright	Frank Lloyd Wright The Living City	Meridian	17	Architecture	American Architecture
Wright	"My Father, Frank Lloyd Wright"	Dover	16	Architecture	American Architecture
Ambroziak	Michael Graves Images of a Grand Tour	Princeton Architectural Press	1	Architecture	Architectural History
Lambert	Building Seagram	Yale	1	Architecture	Architectural History
Brand	How Buildings Learn What happens after they're built	Viking	25	Architecture	Architecture
Ching	Architecture: Form Space & Order	Van Nostrand Reinhold	25	Architecture	Architecture
Field	The World's Greatest Architecture Past and Present	Grange Books	25	Architecture	Architecture
Guggenheim	The Solomon R Guggenheim Museum	Guggenheim Museum Publications	31	Architecture	Architecture
Polkonen (ed) et al	Eero Saarinen Shaping the Future	Yale University Press	Noguchi	Architecture	Architecture
Stern	Modern Classicsm	Rizzoli International	19	Architecture	Architecture
Thomson	Frank Lloyd Wright in Pop-up	PRC	25	Architecture	Architecture
Tigerman	Chicago Tribune Tower Competition & Late Entries	Rizzoli International	31	Architecture	Architecture
Bjone	Philip Johnson and his Mischief	images	21	Architecture	Art
Ching	Building Construction Illustrated	Van Nostrand Reinhold	31	Architecture	Art
Moseley	La Maison Victorienne en trois dimensions	Van der Meer	31	Architecture	Art
Sembach	Art Nouveau	Taschen	9	Architecture	Art Nouveau
Manaugh	A Burglar's Guide to the City	Signal	3	Architecture	Burglary
Erickson	The Architecture of Arthur Erickson	Douglas & McIntyre	12	Architecture	Canadian
Iglauer	"Seven Stones A Portrait of Arthur Erickson, Architect"	University of Washington Press	9	Architecture	Canadian
Iglauer	"Seven Stones A Portrait of Arthur Erickson, Architect"	University of Washington Press	9	Architecture	Canadian
Kalman	Exploring Vancouver	Douglas & McIntyre	37	Architecture	Canadian
McClelland (ed) et al	Concrete Toronto	Coach House Books	17	Architecture	Canadian
Albrecht	Designing Dreams Modern Architecture in the Movies	Harper & Row	26	Architecture	Design
Blanciak	Siteless 1001 Building Forms	MIT Press	22	Architecture	Design
Conran	The Soft Furnishings Book	Stoddard	16	Architecture	Design
Di Mari	Conditional Design an Introduction to Elemental Architecture	BIS Publishers	22	Architecture	Design
Di Mari and Yoo	Operative Design a Catalog of Spatial Verbs	BIS Publishers	22	Architecture	Design
Erickson	Francisco Kripacz: Interior Design	Figure 1	20	Architecture	Design
Gaventa	Concrete Design	Mitchell Beazley	16	Architecture	Design
Goldberger	Richard Haas An Architect of Illusion	Rizzoli	12	Architecture	Design
Klein	Cabin Porn	Little Brown	6	Architecture	Design
Lewis et al	Manual of Section	Princeton Archtectural Press	21	Architecture	Design
Montreal Museum of Fine Arts	Jean-Noël Desmarais Pavilion	Montreal Museum of Fine Arts	16	Architecture	Design
Pile	Open Office Space	Facts on File	16	Architecture	Design
Wright	Frank Lloyd Wright Decorative Designs Collection 2e	Frank Lloyd Wright Foundation	16	Architecture	Design
Evans	Hampton Court Palace Official Guide Book	Historical Royal Palaces Agency	12	Architecture	English
Cruickshank	The Story of Britain's Best Buildings	BBC	6	Architecture	European
Taschen	Contemporary European Architects vol II	Taschen	6	Architecture	European
Mayer and Gray	In the Arts & Crafts Style	Chronicle Books	6	Architecture	History
Donzel et al	Grand Hotels of North America	McClelland and Stewart	6	Architecture	Hotels
Walklet	The Ahwahnee Yosemite's Grand Hotel	DNC Parks	6	Architecture	Hotels
Montreal Museum of Fine Arts	Architects for Snoopy	Montreal Museum of Fine Arts	26	Architecture	Humour
Hill	Samurai Castles	Tuttle	21	Architecture	Japanese
Nishi and Hozumi	What is Japanese Architecture a survey of traditional Japanese architecture	Kodansha USA	21	Architecture	Japanese
Alphin	The Lego Architect	No Starch Press	3	Architecture	Models
Chang	My 32 m2 apartment a 30-year transformation	MCCM Creations	10	Architecture	Modern
Peter	The Oral History of Modern Architecture	Abrams	6	Architecture	Modern
Chatani	Ondori Pop-up Origamic Architecture	Ondori	21	Architecture	Origami
Harrison	Parkinson Photographs 1935-1990	Conran Octopus	12	Architecture	Photography
Pullan	Photographing Mid-Century West Coast Modernism	Douglas & McIntyre	12	Architecture	Photography
Robinson and Herschman	Architecture Transformed A History of the Photography of Buildings from 1839 to the Present	MIT Press	31	Architecture	Photography
Shubert et al	Richard Henriquez Selected Works 1964 - 2005	Douglas & McIntyre	26	Architecture	Photography
Tuchman	The Robert O. Anderson Building	Los Angeles County Museum of Art	12	Architecture	Photography
Weinreb	London Portrait of a City	Phaidon	2	Architecture	Photography
Jencks	Post-Modern Architecture 4e	Rizzoli	6	Architecture	Post-Modern
Young	Saint John's Abbet Church	Minnesota	2	Architecture	Religious
Underwood	Oscar Niemeyer and the Architecture of Brazil	Rizzoli	6	Architecture	South American
ChuBIN	CCCP Cosmic Communist Constructions Photographed	Taschen	12	Architecture	Soviet
Macdonald	"Cabin, cottage, & camp new designs on the Canadian landscape"	Blueimprint	10	Architecture	Vacation homes
Choko	Posters of the Canadian Pacific	Firefly	12	Art	20th Century
Beard	Cowboy Boots	Gibbs Smith	2	Art	American
Schaffer	The Essential Joseph Cornell	Abrams	21	Art	American
Smithsonian	Images of an era: the American Poster 1945-75	MIT Press	16	Art	American
Chewning	Anatomy Illustrated	Simon & Schuster	31	Art	Anatomy
Honnef	Andy Warhol 1928 - 1987	Taschen	26	Art	Biography
Néret	Tamara de Lempicka 1898 - 1980	Taschen	26	Art	Biography
Baker	Emanuel Hahn et Elizabeth Wyn Wood	Musée des Beaux-Arts du Canada	26	Art	Canadian
Bartels (ed) et al	Brian Jungen	Vancouver Art Gallery	31	Art	Canadian
Bruce et al	William Kurelek The Messenger	Art Gallery of Greater Victoria	12	Art	Canadian
Carter	64 - 94 Contemporary Decades	ECIAD	2	Art	Canadian
Mellen	Landmarks of Canadian Art	McClelland and Stewart	31	Art	Canadian
Reid	Kreighoff Images of Canada	Douglas & McIntyre	31	Art	Canadian
Teitelbaum et al	Colville	National Gallery of Canada	31	Art	Canadian
Terris	Ought Apartment	Vancouver Art Gallery	26	Art	Canadian
Elffers	Tangram the Ancient Chinese Puzzle	Harry N Abrams	5	Art	Chinese
Film Polski	"Polish animated cartoon, puppet and experimental films 1965"	Film Polski	21	Art	Cinema
Gustafson	Craft Perception and Practice 1	Ronsdale Press	1	Art	Craft
Gustafson	Craft Perception and Practice 2	Ronsdale Press	1	Art	Craft
Ward	"Shy Boy, She Devil, and Isis The Art of Conceptual Craft"	MFA	10	Art	Craft
maintenant	maintenant 10(0) a journal of contemporary data writing & art	Three Rooms Press	37	Art	dada
Artemide	Artemide 1994	Artemide	19	Art	Design
Eastoe	The art of Taxidermy	Pavilion	16	Art	Design
Julier	The Thames and Hudson Encyclopaedia of 20th Century Design and Designers	Thames & Hudson	17	Art	Design
Sembach et al	Twentieth-Century Furniture Design	Taschen	26	Art	Design
Gilbert (ed) et all	Treasures of Tutankhamun	National Gallery of Art	19	Art	Egyptology
